restaurant_id,restaurant_name,url,address,locality,city,city_id,latitude,longitude,zipcode,country_id,locality_verbose,cuisines,average_cost_for_two,aggregate_rating,rating_text,votes,has_online_delivery,is_table_reservation_supported,establishment_types
9101733,Platform 61,https://www.zomato.com/dublin/platform-61-south-city-west?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"27 South William Street, South City West, Dublin 2",South City West,Dublin,91,53.3416190000,-6.2631510000,2,97,"South City West, Dublin","Modern European, Mediterranean",80,3.6,Good,11,0,0,[]
9101938,Zozimus,https://www.zomato.com/dublin/zozimus-south-city-east?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Centenary House, Anne's Lane, South Anne Street, Dublin 2",South City East,Dublin,91,53.3405280000,-6.2598270000,2,97,"South City East, Dublin",Modern European,65,3.5,Good,8,0,0,[]
16522198,101 Talbot Restaurant,https://www.zomato.com/dublin/101-talbot-restaurant-north-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"101 Talbot Street, North City, Dublin Dublin 1",North City,Dublin,91,53.3502777778,-6.2574416667,Dublin 1,97,"North City, Dublin","Mediterranean, Middle Eastern, Modern European",70,3.9,Good,30,0,0,[]
9100872,The Larder,https://www.zomato.com/dublin/the-larder-temple-bar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"8 Parliament Street, Temple Bar, Dublin Dublin 2",Temple Bar,Dublin,91,53.3444861111,-6.2672638889,Dublin 2,97,"Temple Bar, Dublin","Irish, Modern European, Fish and Chips",70,3.8,Good,15,0,0,[]
16518267,An Bhialann,https://www.zomato.com/dublin/an-bhialann-ranelagh?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"120 Ranelagh, Ranelagh, Dublin Dublin 6",Ranelagh,Dublin,91,53.3239210000,-6.2511430000,Dublin 6,97,"Ranelagh, Dublin","Modern European, Seafood, Irish",80,3.7,Good,30,0,0,[]
16520434,Ely Bar & Brasserie,https://www.zomato.com/dublin/ely-bar-brasserie-ifsc?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Customs House Quay, IFSC, Dublin Dublin 1","The CHQ Building, IFSC",Dublin,91,53.3488580000,-6.2480260000,Dublin 1,97,"The CHQ Building, IFSC, Dublin",Modern European,80,3.5,Good,12,0,0,[]
9100555,The Tramyard Cafe,https://www.zomato.com/dublin/the-tramyard-cafe-dalkey?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Castle Street, Dalkey, Co. Dublin, Dalkey, Dublin",Dalkey,Dublin,91,53.2780023923,-6.1046872661,,97,"Dalkey, Dublin","Cafe, Irish, Modern European",30,3.6,Good,16,0,0,[]
9101392,Cinnamon,https://www.zomato.com/dublin/cinnamon-monkstown?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"23 The Crescent,, Co. Dublin, Monkstown, Dublin",Monkstown,Dublin,91,53.2939450000,-6.1502020000,,97,"Monkstown, Dublin","Modern European, Cafe",60,3.6,Good,16,0,0,[]
9101548,Twenty2,https://www.zomato.com/dublin/twenty2-drumcondra?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"22, Sion Hill Road, Drumcondra, Dublin Dublin 9",Drumcondra,Dublin,91,53.3756835116,-6.2399695069,Dublin 9,97,"Drumcondra, Dublin",Modern European,55,3.7,Good,15,0,0,[]
9101283,Lo-Cal Kitchen,https://www.zomato.com/dublin/lo-cal-kitchen-castleknock?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Unit 4, Phoenix Park Racecourse, Castleknock, Dublin Dublin 15",Castleknock,Dublin,91,53.3719538839,-6.3370715082,Dublin 15,97,"Castleknock, Dublin","Healthy Food, Irish, Modern European",45,3.6,Good,16,0,0,[]
9101531,The Washerwomans Hill Restaurant,https://www.zomato.com/dublin/the-washerwomans-hill-restaurant-glasnevin?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"60 Glasnevin Hill, Glasnevin, Dublin Dublin 9",Glasnevin,Dublin,91,53.3754038909,-6.2697118521,Dublin 9,97,"Glasnevin, Dublin","Modern European, Irish",65,3.6,Good,11,0,0,[]
9101313,South William,https://www.zomato.com/dublin/south-william-south-city-west?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"52 South William Street, South City West, Dublin Dublin 2",South City West,Dublin,91,53.3415912591,-6.2629382685,Dublin 2,97,"South City West, Dublin",Modern European,50,3.5,Good,15,0,0,[]
17730147,Phoenix Park Tea Rooms,https://www.zomato.com/dublin/phoenix-park-tea-rooms-arbour-hill?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Phoenix Park, Arbour Hill, Dublin 8",Arbour Hill,Dublin,91,53.3521710000,-6.3047680000,8,97,"Arbour Hill, Dublin","Coffee and Tea, Cafe",0,3.3,Average,5,0,0,[]
9101309,Christophe's Cafe,https://www.zomato.com/dublin/cristophes-cafe-smithfield?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Duck Lane, Smithfield, Dublin Dublin 7",Smithfield,Dublin,91,53.3483530000,-6.2771460000,Dublin 7,97,"Smithfield, Dublin",Cafe,30,3.3,Average,10,0,0,[]
16519476,Coffee 2 Go,https://www.zomato.com/dublin/coffee-2-go-ballsbridge?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"79 Mespil Road, Ballsbridge, Dublin Dublin 4",Ballsbridge,Dublin,91,53.3339472222,-6.2455444444,Dublin 4,97,"Ballsbridge, Dublin",Cafe,15,3.5,Good,10,0,0,[]
18339314,TWO BOYS BREW,https://www.zomato.com/dublin/two-boys-brew-phibsborough?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"375 North Circular Road, Phibsborough, Dublin Dublin 7",Phibsborough,Dublin,91,53.3607958818,-6.2716590623,Dublin 7,97,"Phibsborough, Dublin",Cafe,0,3.5,Good,8,0,0,[]
9100108,Avalon Coffeehouse,https://www.zomato.com/dublin/avalon-coffeehouse-south-city-west?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Avalon House, 55 Aungier Street, Dublin Dublin 2",South City West,Dublin,91,53.3403888889,-6.2655750000,Dublin 2,97,"South City West, Dublin",Cafe,20,3.4,Average,26,0,0,[]
16520015,Grove Road,https://www.zomato.com/dublin/grove-road-rathmines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"1 Rathmines Road Lower, Rathmines, Dublin Dublin 6",Rathmines,Dublin,91,53.3299169000,-6.2644892558,Dublin 6,97,"Rathmines, Dublin",Cafe,25,3.4,Average,8,0,0,[]
9100818,The Pieman Cafe,https://www.zomato.com/dublin/the-pieman-cafe-temple-bar?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"14a Crown Alley, Temple Bar, Dublin Dublin 2",Temple Bar,Dublin,91,53.3451594161,-6.2627763301,Dublin 2,97,"Temple Bar, Dublin",Cafe,25,3.4,Average,15,0,0,[]
9101005,Foodgame,https://www.zomato.com/dublin/foodgame-beggars-bush?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"10 South Lotts Road, Beggars Bush, Dublin Dublin 4",Beggars Bush,Dublin,91,53.3374990000,-6.2340970000,Dublin 4,97,"Beggars Bush, Dublin",Cafe,20,3.4,Average,13,0,0,[]
16519999,Butlers Chocolate Cafe,https://www.zomato.com/dublin/butlers-chocolate-cafe-swords?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"The Pavilions Shopping Centre, Swords, Co. Dublin","The Pavilions Shopping Centre, Swords ",Dublin,91,53.4545166667,-6.2188833333,,97,"The Pavilions Shopping Centre, Swords , Dublin","Cafe, Desserts",15,3.6,Good,9,0,0,[]
9100113,Butlers Chocolate Cafe,https://www.zomato.com/dublin/butlers-chocolate-cafe-north-city?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"4 Liffey Street Lower, North City, Dublin Dublin 1",North City,Dublin,91,53.3469647986,-6.2633074075,Dublin 1,97,"North City, Dublin","Cafe, Desserts",15,3.4,Average,6,0,0,[]
16519309,Maia,https://www.zomato.com/dublin/maia-ballsbridge?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"47 Shelbourne Road, Ballsbridge, Dublin Dublin 4",Ballsbridge,Dublin,91,53.3303555556,-6.2324305556,Dublin 4,97,"Ballsbridge, Dublin","Deli, Cafe",25,3.2,Average,9,0,0,[]
9100174,Coffee To Get Her,https://www.zomato.com/dublin/coffee-to-get-her-south-city-west?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"The Bernard Shaw, 12 South Richmond Street, Dublin Dublin 2",South City West,Dublin,91,53.3317097133,-6.2644429877,Dublin 2,97,"South City West, Dublin",Cafe,20,3.3,Average,22,0,0,[]
16518415,Itsa...,https://www.zomato.com/dublin/itsa-dundrum?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Dundrum Town Centre, Harvey Nichols Store, Dundrum, Dublin Dublin 16","Dundrum Town Centre, Dundrum",Dublin,91,53.2880361111,-6.2432277778,Dublin 16,97,"Dundrum Town Centre, Dundrum, Dublin","Cafe, Sandwich",15,3.1,Average,6,0,0,[]
9101651,Ernesto's Cafe,https://www.zomato.com/dublin/ernestos-cafe-rathmines?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"15 Rathgar Road, Rathmines, Dublin D06 PN81",Rathmines,Dublin,91,53.3215178661,-6.2672234327,D06 PN81,97,"Rathmines, Dublin",Cafe,25,3.4,Average,9,0,0,[]
9101760,The Birdcage Cafe - Avoca,https://www.zomato.com/dublin/the-birdcage-cafe-rathcoole?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"Avoca Rathcoole, N7 Naas Road, Rathcoole, Dublin Co. Dublin",Rathcoole,Dublin,91,53.2843380000,-6.4562340000,,97,"Rathcoole, Dublin",Cafe,34,3.5,Good,6,0,0,[]
